Population by GN division and age|||||||||Census of Population and Housing 2012|||||||||||||
|GN|||||||||||Age group||||||||||
KurugalaMadulawa South|465463A|1,469983|10978|10972|10764|10573|12367|11870|12993|9684|10659|11155|8543|7066|7744|4032|2937|2224|1813|108|41|10
Madulawa NorthHorakandawala|463464C|1,3612,059|123188|103174|100162|89140|81137|96142|139195|110163|93168|76110|8397|6489|6891|5485|3550|2535|1222|410|51|10
DampeBeruketiya|464A464D|1,4981,901|112170|130156|109149|97121|98101|138140|136177|105165|101155|84151|9587|8680|7286|4374|4724|2630|517|98|06|54
Horagala WestHoragala East|464B464|1,2841,763|82128|98138|115135|95134|75131|96129|103137|120152|88138|90117|84103|6684|4877|4861|2735|2322|1320|910|14|38
BeliattavilaMiriyagalla|461D466|7531,367|64111|76114|5583|42113|4678|4390|75110|6495|55100|5790|3282|2381|3162|2544|2453|1732|1216|88|14|31
MalagalaKahawala|467467A|1,755932|13164|11867|11155|14969|12556|12262|16190|14758|11259|9857|9672|9564|10344|7746|5128|2514|1719|124|42|12
YatawathuraMahingala|468455A|764621|5562|4474|3148|4030|5131|6837|9561|6255|6745|3035|3532|3829|4629|3220|239|1810|157|112|22|13
Ihala BopeGurulana|459458B|1,412917|11772|10263|11255|9273|7967|10183|12065|10962|11462|10563|7954|7139|7552|5040|2722|2621|1814|47|62|51
UdagamaDambora|458458C|765813|5569|5984|5149|5062|3257|7162|6565|5956|5853|3853|4547|4339|4441|4427|2020|1616|107|35|01|20
MaharagamaMirihana South|523A|196,4236,043|12,139323|12,955363|12,370387|14,069439|18,704492|16,300459|15,733415|14,536404|14,193478|12,807449|12,342430|10,863373|9,824320|7,729259|4,933178|3,323112|2,02799|98340|36715|2268
Mirihana NorthMadiwela|523524|6,2226,244|409395|446455|409406|450414|441427|460495|513518|498506|472455|418399|395405|356362|291338|261254|165155|119117|7477|2635|1219|712
Thalawathugoda WestThalawathugoda East|493A493B|5,4926,217|379324|425427|363429|387457|419407|466456|446423|425475|430503|350429|328396|273366|269359|221287|120205|88129|5381|2839|1017|128
KalalgodaKottawa East|493496A|4,9565,632|349428|408423|362395|360399|291380|324387|389451|389419|407455|368455|339360|260277|244258|191229|125117|8080|4069|2032|713|35
Rukmale WestRukmale East A|497497A|4,4711,259|33992|31987|31869|33285|31293|327106|36399|35489|360110|29982|30883|23270|22078|17042|9127|6324|3614|157|92|40
Rukmale East BLiyanagoda|497B496E|2,6974,342|151342|176339|189306|190316|184299|222335|207394|182359|166313|172284|183256|198228|169205|121153|73102|4261|3933|2112|102|23
Kottawa NorthDepanama|496C529A|2,4667,647|166509|167538|162502|172539|158529|199555|205618|188632|171563|179517|160503|148449|130414|100309|77200|34142|2863|741|715|89
Polwatta|529|3,513|233|257|230|252|277|258|288|269|260|230|247|201|184|128|103|40|32|14|6|4
PamunuwaThalapathpitiya|528525|4,5437,086|257444|323457|415397|404437|401789|349644|333599|331515|325483|286451|269453|244401|222337|164241|90173|60129|3971|2037|1013|115
PragathipuraUdahamulla East|524A525A|5,8386,309|436411|501458|450453|451462|456465|445457|496499|442478|434484|395447|387427|305327|228305|170235|103148|83120|3573|1434|412|314
Udahamulla WestPathiragoda|525B527A|4,7806,546|328407|325406|324411|316464|332575|365524|375551|369506|391495|324439|307387|262376|260351|197265|155160|72110|5063|1729|813|314
Maharagama EastMaharagama West|527B527C|3,6952,464|232137|209135|231177|295176|339253|344210|265192|305174|257163|233152|229154|183143|180152|13690|10172|7943|4120|2611|79|31
DambahenaPannipitiya North|528A531|5,2334,060|329257|340256|312241|323304|387344|393360|445327|404293|369300|350256|326266|309241|283197|241150|17692|11497|7242|3718|125|1114
Kottawa WestKottawa South|496D496|2,7667,159|174469|210519|160439|191563|228575|241575|214609|183564|203511|195479|174482|175396|132370|111259|67149|52104|3560|1326|78|12
Malapalla WestMalapalla East|498B498|2,6923,648|186252|198249|169258|207215|210239|218284|232297|205293|179317|178231|158240|163203|142201|94136|6595|3971|2236|1720|66|45
Makumbura NorthMakumbura South|498A498C|3,4581,596|18589|20384|16590|256137|404164|336146|301127|271102|26295|214121|170118|19077|18865|15072|7644|5226|2021|1013|45|10
Kottawa TownPannipitiya South|496B531A|5,4962,255|305138|339141|297127|397116|466149|505171|461174|396193|338178|359143|378144|360136|311136|254112|12877|9451|5533|3619|1412|35
Maharagama TownGodigamuwa South|530532A|5,4535,194|303330|294363|365331|406368|459415|487450|428399|379409|376407|363334|357339|299276|286243|243233|181136|10583|7843|3020|98|57
Godigamuwa South BGodigamuwa North|532B532|7,3284,094|463267|475229|435198|631349|800426|765397|686344|569306|552249|438200|363233|338236|281223|222188|144106|7167|5551|2414|99|72
WattegedaraNavinna|532C527|7,7344,901|419253|438287|417302|646325|703531|695411|683391|538354|519346|468320|475332|470282|411238|329205|208129|14686|9860|5438|108|73
WijeramaGangodavila South B|526C526B|3,6757,391|140286|160299|124313|166391|1,2112,400|382779|217459|167356|159388|187351|136374|171282|142253|121183|81126|5783|3142|1721|42|23
JambugasmullaSri Jayawardanapura Kotte|526D|3,828107,925|2036,034|2276,900|2426,867|2817,716|2749,232|3188,879|3008,096|2457,400|2707,684|2627,330|2717,329|2256,528|2085,693|2034,531|1133,103|982,218|431,350|31672|9252|5111
ObsekarapuraWelikada West|514C514A|11,9637,004|933433|1,033466|1,037427|920494|9861,163|918644|1,074524|804452|852432|804394|773398|578366|433291|351214|215121|13987|6644|3135|88|811
Welikada EastRajagiriya|514514B|6,7493,591|413199|441250|422276|422308|612328|588271|510234|464252|483279|439224|457248|395196|358167|290121|187101|15367|6133|3223|179|55
Welikada NorthNawala West|514D520|4,8344,059|358177|382206|394214|393291|377320|391339|398301|377270|403255|323279|321311|228244|199271|122223|85142|45106|2763|1029|110|08
KoswattaEthulkotte West|520A521A|5,7073,371|313171|306183|315179|411224|423271|504275|434249|417230|383262|392245|420238|392222|294174|262163|161112|13989|7855|4120|186|43
Ethulkotte Pitakotte East|521522A|5,9293,984|329234|359237|365235|460277|459268|441311|469299|382268|425291|423259|418284|383284|324200|255197|177124|119106|7965|4228|1611|46
PitakottePitakotte West|522B522|3,6345,301|197265|243329|226348|233374|281364|280395|266391|271370|266360|286402|243341|230336|193322|157258|106189|82111|4585|1841|816|34
Nawala EastNugegoda West|520B519B|5,4735,627|310267|369288|314309|330397|370405|445473|395401|356392|450398|396422|379413|328371|341310|237248|178203|121142|9899|3652|1325|712
PagodaNugegoda|519A519|5,4463,365|236139|362158|351192|384215|369248|403263|351254|381215|397262|358248|390251|343245|366195|253173|192122|14094|10258|4822|1510|51
Pagoda EastGangodavila North|519C526|5,9445,352|308238|357298|344302|426436|537530|542445|423398|422343|412349|386367|394333|366342|346308|274234|164175|109121|6866|4246|1715|76
Gangodavila SouthGangodavila East|526A526C|7,3053,287|378136|408225|430187|504217|640281|644307|525200|495239|499226|455228|530187|456223|413188|336163|234115|16385|11246|5224|227|93
ThimbirigasyayaKollupitiya||238,0576,711|14,441323|15,738390|16,765415|17,593462|21,102723|20,012701|18,779481|17,105399|17,045484|15,946411|15,246429|13,120417|11,496324|8,889297|5,999183|4,306148|2,52080|1,23927|45312|2635
BambalapitiyaKurunduwatta||7,5649,914|368339|419357|427687|502692|5711,229|5661,418|524725|506560|546614|532615|546578|524531|447509|363349|262265|217204|125117|7867|3334|824
Kuppiyawatta WestKuppiyawatta East||6,95410,577|489766|530859|7811,000|546962|6271,116|592701|529806|466657|447765|391649|384610|321493|316423|215325|116200|112142|6363|2323|511|16
DematagodaWanathamulla||18,60217,355|1,6071,427|1,6361,494|1,5541,525|1,5801,409|1,5661,438|1,4861,365|1,4831,419|1,3021,257|1,3211,226|1,2381,158|1,0511,100|894862|782658|521425|280279|164176|8581|3433|614|129
Borella NorthBorella South||21,3265,127|1,043276|1,155298|1,079309|1,085403|1,555419|2,061423|2,567364|2,359305|2,210332|1,814366|1,438390|1,012375|763285|509208|306147|182101|11168|4641|1210|197
GothamipuraNarahenpita||6,49811,194|397859|455908|460794|456815|524808|606814|557996|465983|473890|433739|440663|360524|295463|237361|135233|95185|6186|2744|1615|614
ThimbirigasyayaMilagiriya||12,6757,389|623311|724352|921516|927480|1,485929|1,104576|878438|809461|907451|890451|851435|687458|524440|455351|336276|278202|158140|6887|3127|198
Havelock TownKirula||7,45520,237|3491,192|4451,318|4781,377|5011,524|5231,805|4541,785|4631,562|4751,495|4991,469|5201,384|5281,296|5411,075|474886|376749|311511|223376|170230|92112|2247|1144
KirulaponeWellawatta North||17,84614,967|1,199883|1,288985|1,255930|1,3731,138|1,4201,234|1,4091,190|1,4781,025|1,380943|1,266884|1,187923|1,1561,006|930915|795908|655744|420509|314386|181222|8898|3433|1811
Wellawatta SouthPamankada West||10,82612,451|566609|568741|638808|811994|1,0121,122|893897|688814|652800|643760|664766|721786|690766|728806|559679|420472|285302|170187|7299|3529|1114
Pamankada EastDehiwala||12,38988,962|8155,583|8165,898|8115,930|9336,865|9967,797|9717,172|9826,583|8316,118|8585,924|8155,649|8385,598|7454,999|6704,926|5113,800|3382,472|2141,748|1221,041|80537|27201|16121
Sri SaranankaraVilawala|538C537|6,3676,334|459401|486438|458427|528479|580510|542558|480535|417467|403444|366431|374410|353344|300292|240225|152149|96108|6666|3830|2213|77
Dutugemunu|537A|4,806|216|239|296|383|332|357|323|326|344|323|316|294|327|296|172|123|81|41|14|3
KohuwalaKalubovila|537B538|5,4755,517|308332|306334|355370|368407|509438|453504|379461|402390|395359|327384|336379|352308|342310|239206|156133|11494|7254|3432|1511|1311
HathbodhiyaGalwala|538B538A|6,2285,671|456387|481421|428422|510486|522519|456438|436374|417396|461310|393367|392332|333262|309323|260246|168149|103119|6068|3431|516|45
Dehiwala WestDehiwala East|540A540|5,1846,767|249396|277422|296464|301525|460796|408531|383503|338435|294449|326412|318364|318365|370368|293297|244166|142129|9583|4841|1413|108
UdyanayaNedimala|536A536|5,9149,058|442606|458607|443536|490669|472776|426760|451706|424662|424599|374578|426569|301519|271483|203369|139231|90197|44105|1955|514|1217
MalwattaJayathilaka|539/42A540B|3,5434,374|194233|244268|203289|287328|320382|271376|230333|205283|253265|227249|236264|216252|217271|172226|112138|8492|4762|1539|718|36
KaragampitiyaKawdana East|539/42539/42B|5,6338,091|370534|352565|402541|477627|523658|470622|409580|366590|363561|330562|388494|330452|309434|199329|138225|104153|4989|2753|1816|96
RatmalanaMount Lavinia|541|95,5068,373|6,364519|6,478494|6,402554|7,511594|8,224710|8,026668|7,726664|6,671554|6,378498|6,171530|6,139544|5,217505|4,817502|3,647391|2,305256|1,622173|1,032124|47846|18030|11817
Kawdana WestWatarappala|539/42C544|6,6246,311|471398|415401|447420|505491|586558|532509|531502|442433|461405|389416|422415|340379|349349|290258|165161|154110|8062|2822|717|105
WathumullaKatukurunduwatta|544A545A|4,60812,166|217975|242977|277906|317987|397994|365967|333986|323882|269827|326781|317710|310603|297571|239390|146243|109189|6199|4349|1121|99
Attidiya NorthAttidiya South|543543B|8,8547,683|599513|610497|551511|702564|803578|792633|741614|618579|663542|606504|573480|395449|416376|313325|193192|135155|6798|5248|1314|1211
PiriwenaWedikanda|545546A|5,0187,585|275505|289517|275501|332598|460558|429606|392590|337534|314501|334499|340496|296459|293415|248308|167225|104125|9281|2839|919|49
ViharaRathmalana West|546B546|6,4435,736|399450|432487|397418|477433|635453|535484|526516|442452|430389|383329|376369|342268|354263|287183|184108|12365|7739|2623|95|92
Rathmalana EastKandawala|546C543A|6,5649,541|481562|523594|478667|578933|568924|572934|565766|460615|438641|475599|494603|379492|218414|132283|88177|48132|39113|2054|421|417
MoratuwaAngulana North|547|168,2804,201|11,487341|12,193370|11,805344|13,080385|15,939335|13,880356|14,230389|11,564315|11,378281|10,872251|10,426240|9,136186|8,089168|5,710106|3,62669|2,36536|1,42219|6416|2723|1651
KaldemullaSoysapura North|548548A|4,8052,898|285113|284151|297135|353151|454247|425213|415197|346184|328203|339192|321227|292231|231201|169163|96125|8284|4048|2622|177|54
Soysapura SouthDahampura|548B548C|2,7112,748|122156|152194|161181|202196|215244|177235|193210|169186|187206|209204|192175|184147|202128|15993|9075|5360|2833|1419|16|10
Thelawala NorthBorupana|549B549A|5,3855,918|286358|398332|355353|481512|515662|526565|494461|379417|381389|357406|289377|241325|200240|169196|117123|8192|5858|2735|413|274
Thelawala SouthLakshapathiya North|549550A|3,9164,481|224255|192272|195287|369297|544398|400374|345367|250351|249323|223292|220298|218248|152229|103190|96150|6967|3148|2421|89|45
Lakshapathiya CentralAngulana South|550B547A|3,0493,333|248316|223307|223267|220250|246296|272306|320308|219218|194219|193200|170196|166165|145101|9690|4837|3128|2122|74|12|61
Uyana SouthUyana North|552A552B|4,4643,783|330346|311322|347291|378276|331283|316302|331358|303283|289255|315244|291194|261192|229175|162107|11575|8141|4520|1613|85|51
Rawathawatta SouthRawathawatta East|557B557|2,1444,033|168279|165264|144265|155314|138312|160314|181335|144290|157280|145245|124265|122277|123211|84161|54103|3753|2636|1015|410|34
Lakshapathiya SouthKuduwamulla|550551B|5,3803,194|341199|371226|379225|415236|403308|434239|410289|394213|396237|358213|369204|314192|264159|226110|12464|9541|5026|189|132|62
KatubeddaMolpe|551551A|10,5967,487|590456|605487|650482|685453|2,0051,674|966638|756552|650456|622395|614374|596392|514368|454267|326220|251120|15265|9844|4424|148|412
Moratumulla NorthKadalana|551C558A|3,2553,544|236244|241253|241239|246276|258256|256222|262290|233260|237262|231257|236247|184205|149197|90133|7988|3554|2430|1617|06|18
Rawathawatta WestIdama|557A552|3,3752,826|188137|206168|227150|218174|265188|255186|222207|227177|217194|205166|258181|225171|247201|160180|105128|7698|4468|1531|1414|17
UswattaMoratuwella South|553C553|2,1744,524|135287|176339|150304|180360|171319|156356|200355|138342|148320|158316|134279|116263|103243|83166|57102|2979|2353|1025|616|10
Indibedda WestMoratumulla East|559558|4,4373,854|335261|347297|339273|353308|364288|380307|425367|317275|296269|282265|278252|247223|191190|126111|7069|3451|3124|1414|54|36
Moratumulla WestVillorawatta East|558B560/61|3,6303,678|280274|286292|273279|260293|274275|320340|321348|258255|234235|246238|216215|203191|206177|119123|6265|3129|2428|1211|54|06
Villorawatta WestIndibedda East|560/61A559A|4,6893,592|375271|391277|348288|398305|327284|353302|470344|340259|346249|298251|288224|242157|194157|135101|7751|5635|3322|66|68|61
Moratuwella NorthMoratuwella West|553A553B|2,2362,394|111201|148210|163186|168206|178168|167229|139256|148165|158159|174155|159143|118113|12083|12054|7736|5112|247|86|31|24
Koralawella NorthKoralawella East|554554B|5,6962,192|438165|482167|455155|514154|409158|446170|483193|387158|420154|361134|320132|311130|266130|16377|9846|7135|4224|176|94|40
Koralawella WestKoralawella South|554C554A|3,5313,582|284243|329275|297283|275302|289285|331271|290295|238254|238252|223267|220220|150191|142192|87102|6163|4347|2827|39|23|11
Katukurunda NorthKatukurunda South|555555A|3,5514,399|257317|266374|259337|310362|290335|261341|319379|249298|265309|235284|211274|178226|172224|124135|7286|4864|2528|713|35|08
Egoda Uyana NorthEgoda Uyana Central|556556A|4,6032,869|368203|376200|330229|404240|354194|375198|436238|328191|314183|291192|288202|219182|204176|148104|7355|5733|2019|1418|211|21
Egoda Uyana SouthKesbewa|556B|5,123245,232|46416,966|46717,469|41916,510|44617,751|40020,327|44019,741|48020,421|30018,674|32817,960|26916,350|30915,297|24813,407|24612,208|1398,984|745,532|493,704|232,223|91,111|6381|7216
Pepiliyana WestPepiliyana East|535535C|5,0391,765|274101|312108|333140|391167|393179|379143|404139|313134|410131|362109|323100|26887|28480|22767|14632|9928|6511|395|133|41
Divulpitiya East|535D|2,328|125|123|130|198|266|234|175|164|163|144|140|138|123|87|50|35|19|7|5|2
Divulpitiya WestBellanvila|535B535A|2,6313,413|139198|157199|160213|211247|222287|224295|249275|177235|195244|179220|181201|151210|142198|101171|5293|3966|2233|1920|75|43
Boralesgamuwa West ABoralesgamuwa West C|533B533F|4,4661,485|25189|27272|25475|376134|438173|359155|386125|345100|30396|27876|28886|25686|23978|15949|10444|7924|5415|156|71|31
RattanapitiyaEgodawatta|533A533C|4,7683,310|201139|210121|206129|288200|1,209940|499377|289230|295176|247166|242151|250177|228154|209136|15696|9448|6729|4218|2118|72|83
Boralesgamuwa East ABoralesgamuwa West B|533533E|4,8422,822|297177|268190|278165|348202|438262|427235|426253|374202|318211|332158|318176|272180|278147|199108|10271|9145|4823|2110|56|21
Werahera NorthBoralesgamuwa East B|577533D|1,9775,204|128344|116324|130313|146366|172469|160477|160453|144421|152344|125335|131319|96257|92287|94204|58122|3179|2853|922|111|44
NeelammaharaKatuwawala North|579578|3,3583,697|256241|266229|232225|230279|257344|269324|333322|284269|248272|234229|194226|144202|140204|102133|7376|4761|3432|823|66|10
VishwakalawaWerahera South|574B577A|2,0455,213|134384|146425|128358|148356|159350|173430|165450|160381|147437|124363|149281|111281|129262|66171|53115|2281|1941|1028|114|15
Katuwawala SouthNiwanthidiya|578A580A|1,4893,435|99271|102264|69243|117237|132283|128292|134299|115266|104231|94222|88205|84175|87164|56108|3876|2054|1025|914|15|21
Erewwala WestErewwala North|581A581D|6,5444,373|460335|483345|439359|479296|467283|532344|518358|522378|471345|492299|417268|348251|349175|207125|14985|9260|6544|3214|127|102
Erewwala EastRathmaldeniya|581581C|2,5425,440|161379|153398|168402|180375|189352|209387|235422|203418|170399|171414|171368|155281|133278|98224|63132|2494|2673|2030|58|86
MahalwarawaBangalawatta|581E581B|2,7732,194|170128|186152|185135|145154|195149|239157|248164|219177|211135|149160|170160|165116|189123|116106|7366|5252|3336|1617|47|80
Pelenwatta EastPelenwatta North|582B582|4,0324,703|277341|298355|291354|284389|278328|296342|357366|309360|282377|273344|246321|234255|204199|163137|104109|6253|4443|1719|85|56
